variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status,image
102-263,Tomato,,"Indeterminate loose tomato, vigorous plant,high yield.","Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.","HR: ToMV, Vd, Va, F 0-1, For  / IR: Ma, Mi, Mj, TYLCV, TSWV.",Winter and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant,high yield.
Fruit: Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.
Cultivation: Winter and spring seasons in greenhouse.",Mexico,CENTURION F1,In Progress,102-263.jpg
,,,,,,,,Romania,NEMESIS F1,In Progress,
,,,,,,,,Panama,CENTURION F1,In Progress,
,,,,,,,,Austria,NEMESIS F1,Registered,
,,,,,,,,Belgium,NEMESIS F1,Registered,
,,,,,,,,Bulgaria,NEMESIS F1,Registered,
,,,,,,,,Croatia,NEMESIS F1,Registered,
,,,,,,,,Cyprus,NEMESIS F1,Registered,
,,,,,,,,Czech Republic,NEMESIS F1,Registered,
,,,,,,,,Denmark,NEMESIS F1,Registered,
,,,,,,,,Estonia,NEMESIS F1,Registered,
,,,,,,,,Finland,NEMESIS F1,Registered,
,,,,,,,,France,NEMESIS F1,Registered,
,,,,,,,,Germany,NEMESIS F1,Registered,
,,,,,,,,Greece,NEMESIS F1,Registered,
,,,,,,,,Hungary,NEMESIS F1,Registered,
,,,,,,,,Ireland,NEMESIS F1,Registered,
,,,,,,,,Italy,NEMESIS F1,Registered,
,,,,,,,,Latvia,NEMESIS F1,Registered,
,,,,,,,,Lithuania,NEMESIS F1,Registered,
,,,,,,,,Luxembourg,NEMESIS F1,Registered,
,,,,,,,,Malta,NEMESIS F1,Registered,
,,,,,,,,Netherlands,NEMESIS F1,Registered,
,,,,,,,,Poland,NEMESIS F1,Registered,
,,,,,,,,Portugal,NEMESIS F1,Registered,
,,,,,,,,Slovakia,NEMESIS F1,Registered,
,,,,,,,,Sierra Leone,NEMESIS F1,Registered,
,,,,,,,,Spain,NEMESIS F1,Registered,
,,,,,,,,Sweden,NEMESIS F1,Registered,
,,,,,,,,South Korea,NEMESIS F1,In Progress,
,,,,,,,,Portugal,NEMESIS F1,In Progress,
,,,,,,,,Saudi Arabia,MALIHA F1,In Progress,
,,,,,,,,Netherlands,NEMESIS F1,Registered,
,,,,,,,,Qatar,AMAL F1,In Progress,
,,,,,,,,United States,NEMESIS F1,In Progress,
,,,,,,,,Australia,KALYON F1,In Progress,
102-409,Tomato,,"Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.","Red color, slightly flat, firm, 200-250 gr.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, Ma, Mi, Mj, ToBRFV, Ss",Spring season in greenhouse and open field.,"Plant: Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.
Fruit: Red color, slightly flat, firm, 200-250 gr.
Cultivation: Spring season in greenhouse and open field.",Egypt,CEMAL F1,In Progress,102-409.jpg
,,,,,,,,Egypt,102-409 F1,In Progress,
,,,,,,,,Morocco,CEMAL F1,In Progress,
,,,,,,,,Morocco,BYSONTE F1,In Progress,
,,,,,,,,Morocco,TRUANO F1,In Progress,
,,,,,,,,Qatar,CEMAL F1,In Progress,
,,,,,,,,Qatar,102-409 F1,In Progress,
,,,,,,,,Cyprus,CEMAL F1,In Progress,
,,,,,,,,Brazil,TROYANO F1,Registered,
,,,,,,,,Spain,DECANO F1,In Progress,
,,,,,,,,Argentina,102-409 F1,In Progress,
,,,,,,,,Iraq,102-409 F1,In Progress,
,,,,,,,,Argentina,BERKAN F1,In Progress,
,,,,,,,,Uruguay,102-409 F1,In Progress,
,,,,,,,,Spain,FLAMINIA F1,In Progress,
102-416,Tomato,,"Indeterminate beef Tomato, vigorous plant, short internodes.","Red color, firm, 4-5 fruits per cluster, 300-350 g, very nice aroma.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-B / IR: Ma, Mi, Mj, TYLCV, TSWV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate beef Tomato, vigorous plant, short internodes.
Fruit: Red color, firm, 4-5 fruits per cluster, 300-350 g, very nice aroma.
Cultivation: Autumn and spring seasons in greenhouse.",United States,CARDINAL F1,In Progress,102-416.jpg
,,,,,,,,United Arab Emirates,ASYA F1,In Progress,
,,,,,,,,United Arab Emirates,102-416 F1,In Progress,
,,,,,,,,Albania,ASYA F1,In Progress,
,,,,,,,,Bosnia and Herzegovina,ASYA F1,In Progress,
,,,,,,,,Bulgaria,EURASIA F1,In Progress,
,,,,,,,,Belarus,ASYA F1,In Progress,
,,,,,,,,Serbia,ASYA F1,In Progress,
,,,,,,,,Greece,EURASIA F1,In Progress,
,,,,,,,,Kazakhstan,ASEM F1,In Progress,
,,,,,,,,Latvia,EURASIA F1,In Progress,
,,,,,,,,Montenegro,EURASIA F1,In Progress,
,,,,,,,,Mexico,OWL F1,In Progress,
,,,,,,,,Mexico,ASYA F1,In Progress,
,,,,,,,,Poland,EURASIA F1,In Progress,
,,,,,,,,Romania,EURASIA F1,In Progress,
,,,,,,,,Ukraine,ASYA F1,In Progress,
,,,,,,,,United States,OWL F1,In Progress,
,,,,,,,,United States,ASYA F1,In Progress,
,,,,,,,,Kosovo,ASYA F1,In Progress,
,,,,,,,,Serbia,ASIA F1,In Progress,
,,,,,,,,Netherlands,ASIA F1,In Progress,
,,,,,,,,Cyprus,ASYA F1,In Progress,
,,,,,,,,Panama,OWL F1,In Progress,
,,,,,,,,South Korea,102-416 F1,In Progress,
,,,,,,,,Austria,EURASIA F1,Registered,
,,,,,,,,Belgium,EURASIA F1,Registered,
,,,,,,,,Croatia,EURASIA F1,Registered,
,,,,,,,,Cyprus,EURASIA F1,Registered,
,,,,,,,,Czech Republic,EURASIA F1,Registered,
,,,,,,,,Denmark,EURASIA F1,Registered,
,,,,,,,,Estonia,EURASIA F1,Registered,
,,,,,,,,Finland,EURASIA F1,Registered,
,,,,,,,,France,EURASIA F1,Registered,
,,,,,,,,Germany,EURASIA F1,Registered,
,,,,,,,,Hungary,EURASIA F1,Registered,
,,,,,,,,Ireland,EURASIA F1,Registered,
,,,,,,,,Italy,EURASIA F1,Registered,
,,,,,,,,Lithuania,EURASIA F1,Registered,
,,,,,,,,Luxembourg,EURASIA F1,Registered,
,,,,,,,,Malta,EURASIA F1,Registered,
,,,,,,,,Netherlands,EURASIA F1,Registered,
,,,,,,,,Poland,EURASIA F1,Registered,
,,,,,,,,Portugal,EURASIA F1,Registered,
,,,,,,,,Slovakia,EURASIA F1,Registered,
,,,,,,,,Sierra Leone,EURASIA F1,Registered,
,,,,,,,,Spain,EURASIA F1,Registered,
,,,,,,,,Sweden,EURASIA F1,Registered,
102-472,Tomato,,"Indeterminate cluster tomato, early, open plant, short internodes.","Round, very firm, red color, 90
- 100 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, ToBRFV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, early, open plant, short internodes.
Fruit: Round, very firm, red color, 90
- 100 g.
Cultivation: Autumn and spring seasons in greenhouse.",Netherlands,REDROCK F1,In Progress,102-472.jpg
,,,,,,,,Italy,REDROCK F1,In Progress,
,,,,,,,,Austria,REDROCK F1,In Progress,
,,,,,,,,Belgium,REDROCK F1,In Progress,
,,,,,,,,Bulgaria,REDROCK F1,In Progress,
,,,,,,,,Croatia,REDROCK F1,In Progress,
,,,,,,,,Cyprus,REDROCK F1,In Progress,
,,,,,,,,Czech Republic,REDROCK F1,In Progress,
,,,,,,,,Denmark,REDROCK F1,In Progress,
,,,,,,,,Estonia,REDROCK F1,In Progress,
,,,,,,,,Finland,REDROCK F1,In Progress,
,,,,,,,,France,REDROCK F1,In Progress,
,,,,,,,,Germany,REDROCK F1,In Progress,
,,,,,,,,Greece,REDROCK F1,In Progress,
,,,,,,,,Hungary,REDROCK F1,In Progress,
,,,,,,,,Ireland,REDROCK F1,In Progress,
,,,,,,,,Latvia,REDROCK F1,In Progress,
,,,,,,,,Lithuania,REDROCK F1,In Progress,
,,,,,,,,Luxembourg,REDROCK F1,In Progress,
,,,,,,,,Malta,REDROCK F1,In Progress,
,,,,,,,,Poland,REDROCK F1,In Progress,
,,,,,,,,Portugal,REDROCK F1,In Progress,
,,,,,,,,Romania,REDROCK F1,In Progress,
,,,,,,,,Slovakia,REDROCK F1,In Progress,
,,,,,,,,Sierra Leone,REDROCK F1,In Progress,
,,,,,,,,Spain,REDROCK F1,In Progress,
,,,,,,,,Sweden,REDROCK F1,In Progress,
,,,,,,,,Spain,KERRY F1,In Progress,
102-477,Tomato,,"Indeterminate cluster tomato, vigorous plant, very good cluster shape, early.","Red color, firm, 5-7 fruits per cluster, 130-140 g, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1/ IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate cluster tomato, vigorous plant, very good cluster shape, early.
Fruit: Red color, firm, 5-7 fruits per cluster, 130-140 g, long shelf life.
Cultivation: Autumn and spring seasons in greenhouse and open field.",India,LUPIN F1,In Progress,102-477.jpg
,,,,,,,,Azerbaijan,RUBA? F1,In Progress,
,,,,,,,,Azerbaijan,ULDUZ F1,In Progress,
,,,,,,,,Kyrgyzstan,GUZEL F1,In Progress,
,,,,,,,,Lebanon,MERKR F1,In Progress,
,,,,,,,,Lebanon,MERKUR F1,In Progress,
,,,,,,,,Finland,FLIRTY F1,Registered,
,,,,,,,,Croatia,FLIRTY F1,Registered,
,,,,,,,,Cyprus,FLIRTY F1,Registered,
,,,,,,,,Czech Republic,FLIRTY F1,Registered,
,,,,,,,,Denmark,FLIRTY F1,Registered,
,,,,,,,,Estonia,FLIRTY F1,Registered,
,,,,,,,,Italy,FLIRTY F1,In Progress,
,,,,,,,,Azerbaijan,DIZI F1,In Progress,
,,,,,,,,Austria,FLIRTY F1,Registered,
,,,,,,,,Belgium,FLIRTY F1,Registered,
,,,,,,,,Bulgaria,FLIRTY F1,Registered,
,,,,,,,,Slovakia,FLIRTY F1,Registered,
,,,,,,,,Sierra Leone,FLIRTY F1,Registered,
,,,,,,,,Spain,FLIRTY F1,Registered,
,,,,,,,,Sweden,FLIRTY F1,Registered,
,,,,,,,,Netherlands,FLIRTY F1,In Progress,
,,,,,,,,Cyprus,MERKR F1,In Progress,
,,,,,,,,Lithuania,FLIRTY F1,Registered,
,,,,,,,,Luxembourg,FLIRTY F1,Registered,
,,,,,,,,Malta,FLIRTY F1,Registered,
,,,,,,,,Poland,FLIRTY F1,Registered,
,,,,,,,,Portugal,FLIRTY F1,Registered,
,,,,,,,,Romania,FLIRTY F1,Registered,
,,,,,,,,France,FLIRTY F1,Registered,
,,,,,,,,Germany,FLIRTY F1,Registered,
,,,,,,,,Greece,FLIRTY F1,Registered,
,,,,,,,,Hungary,FLIRTY F1,Registered,
,,,,,,,,Ireland,FLIRTY F1,Registered,
,,,,,,,,Latvia,FLIRTY F1,Registered,
,,,,,,,,Jordan,MERCURE F1,In Progress,
,,,,,,,,India,LUPIN F1,In Progress,
102-638,Tomato,,"Indeterminate cherry Tomato, very early, short internodes.","Red color, firm, high quality and productivity, 10-15 gr.","HR: ToMV, Va, Vd, Fol 0-1, /IR: Ma, Mi, Mj, TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cherry Tomato, very early, short internodes.
Fruit: Red color, firm, high quality and productivity, 10-15 gr.
Cultivation: Autumn and spring seasons in greenhouse.",United Arab Emirates,ROTANA F1,In Progress,102-638.jpg
,,,,,,,,Azerbaijan,ELEMDAR F1,In Progress,
,,,,,,,,Jordan,YENICERI F1,In Progress,
,,,,,,,,South Korea,NEWCHERRY F1,In Progress,
,,,,,,,,Morocco,ILIANA F1,Registered,
,,,,,,,,Netherlands,102-638 F1,In Progress,
,,,,,,,,Montenegro,YENICERI F1,In Progress,
,,,,,,,,Saudi Arabia,REVERA F1,Registered,
,,,,,,,,Turkmenistan,GYZYL ER? F1,In Progress,
102-79,Tomato,,"Indeterminate tomato, very vigorous, early, tolerance cold weather.","Red color, slightly flat, firm, 180-200 gr.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and winter seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous, early, tolerance cold weather.
Fruit: Red color, slightly flat, firm, 180-200 gr.
Cultivation: Autumn and winter seasons in greenhouse.",Kyrgyzstan,LARA F1,In Progress,102-79.jpg
,,,,,,,,Uzbekistan,1956 F1,In Progress,
,,,,,,,,Cyprus,GNL  F1,In Progress,
,,,,,,,,Egypt,ANTALYA F1,In Progress,
112-05,Tomato,,"Indeterminate loose tomato, winter crop for long cycle, very strong plant.
HR:ToMV, Fol 0-1, Va, Vd / IR: TYLCV, Ma, Mi, Mj","Red color, round, 5-6 fruits per cluster, 180-200 g.",,Winter season in greenhouse.,"Plant: Indeterminate loose tomato, winter crop for long cycle, very strong plant.
HR:ToMV, Fol 0-1, Va, Vd / IR: TYLCV, Ma, Mi, Mj
Fruit: Red color, round, 5-6 fruits per cluster, 180-200 g.
Cultivation: Winter season in greenhouse.",Spain,BYSONTE F1,In Progress,112-05.jpg
,,,,,,,,Mexico,BYSONTE F1,In Progress,
,,,,,,,,Austria,BYSONTE F1,Registered,
,,,,,,,,Belgium,BYSONTE F1,Registered,
,,,,,,,,Bulgaria,BYSONTE F1,Registered,
,,,,,,,,Croatia,BYSONTE F1,Registered,
,,,,,,,,Cyprus,BYSONTE F1,Registered,
,,,,,,,,Czech Republic,BYSONTE F1,Registered,
,,,,,,,,Denmark,BYSONTE F1,Registered,
,,,,,,,,Estonia,BYSONTE F1,Registered,
,,,,,,,,Finland,BYSONTE F1,Registered,
,,,,,,,,France,BYSONTE F1,Registered,
,,,,,,,,Germany,BYSONTE F1,Registered,
,,,,,,,,Greece,BYSONTE F1,Registered,
,,,,,,,,Hungary,BYSONTE F1,Registered,
,,,,,,,,Ireland,BYSONTE F1,Registered,
,,,,,,,,Italy,BYSONTE F1,Registered,
,,,,,,,,Latvia,BYSONTE F1,Registered,
,,,,,,,,Lithuania,BYSONTE F1,Registered,
,,,,,,,,Luxembourg,BYSONTE F1,Registered,
,,,,,,,,Malta,BYSONTE F1,Registered,
,,,,,,,,Netherlands,BYSONTE F1,Registered,
,,,,,,,,Poland,BYSONTE F1,Registered,
,,,,,,,,Portugal,BYSONTE F1,Registered,
,,,,,,,,Romania,BYSONTE F1,Registered,
,,,,,,,,Slovakia,BYSONTE F1,Registered,
,,,,,,,,Sierra Leone,BYSONTE F1,Registered,
,,,,,,,,Sweden,BYSONTE F1,Registered,
,,,,,,,,Morocco,BYSONTE F1,In Progress,
112-101,Tomato,,"Indeterminate round loose tomato, very vigorous plant, very early.","Red color, round, firm, 170-190 gr, productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate round loose tomato, very vigorous plant, very early.
Fruit: Red color, round, firm, 170-190 gr, productive.
Cultivation: Autumn and spring seasons in greenhouse.",Iran,Y271 F1,In Progress,112-101.jpg
,,,,,,,,Lebanon,NEW BELKIS,In Progress,
,,,,,,,,Albania,NAZAL F1,In Progress,
,,,,,,,,Australia,ADELAIDE F1,In Progress,
,,,,,,,,Azerbaijan,SERVAN F1,In Progress,
,,,,,,,,Belarus,,In Progress,
,,,,,,,,China,ENDOUR F1,In Progress,
,,,,,,,,Serbia,NAZAL F1,In Progress,
,,,,,,,,Iraq,SUMER F1,In Progress,
,,,,,,,,Iran,NAZAL F1,In Progress,
,,,,,,,,Iran,CAPITAN F1,Registered,
,,,,,,,,Kyrgyzstan,AM?NA F1,In Progress,
,,,,,,,,Kazakhstan,ARMAN F1,In Progress,
,,,,,,,,Lebanon,NAZAL F1,In Progress,
,,,,,,,,Morocco,NAZAL F1,In Progress,
,,,,,,,,Morocco,GALAXY F1,In Progress,
,,,,,,,,Turkmenistan,SE?L F1,In Progress,
,,,,,,,,Ukraine,,In Progress,
,,,,,,,,Uzbekistan,1955 F1,In Progress,
,,,,,,,,Kosovo,NAZAL F1,In Progress,
,,,,,,,,Cyprus,NAZAL F1,In Progress,
,,,,,,,,United Arab Emirates,112-101 F1,In Progress,
,,,,,,,,Spain,112-101 F1,In Progress,
,,,,,,,,Jordan,112-101 F1,In Progress,
,,,,,,,,France,GV561266 F1,In Progress,
,,,,,,,,Lebanon,NEW BELKIS F1,In Progress,
,,,,,,,,Afghanistan,CAPITAN F1,In Progress,
,,,,,,,,Oman,LEEN F1,In Progress,
112-249,Tomato,,"Indeterminate loose tomato, vigorous plant, high yield.","Red color, globe, firm, 220 - 250 g, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, high yield.
Fruit: Red color, globe, firm, 220 - 250 g, long shelf life.
Cultivation: Autumn and spring seasons in greenhouse.",,,,112-249.jpg
112-334,Tomato,,"Indeterminate beef tomato, vigorous plant, mid-early.","Red color, flat, very firm, 250-270 g.","HR: ToMV, Vd,Va, Fol 0-1, For, Ff A-B /  IR:TYLCV, TSWV,Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate beef tomato, vigorous plant, mid-early.
Fruit: Red color, flat, very firm, 250-270 g.
Cultivation: Autumn and spring seasons in greenhouse.",Azerbaijan,ZKAN F1,In Progress,112-334.jpg
,,,,,,,,Cyprus,NAMLI  F1,In Progress,
,,,,,,,,Bulgaria,ENKI F1,In Progress,
,,,,,,,,Austria,ENKI F1,In Progress,
,,,,,,,,Belgium,ENKI F1,In Progress,
,,,,,,,,Croatia,ENKI F1,In Progress,
,,,,,,,,Cyprus,ENKI F1,In Progress,
,,,,,,,,Czech Republic,ENKI F1,In Progress,
,,,,,,,,Denmark,ENKI F1,In Progress,
,,,,,,,,Estonia,ENKI F1,In Progress,
,,,,,,,,Finland,ENKI F1,In Progress,
,,,,,,,,France,ENKI F1,In Progress,
