CROPS,CODE,PLANT,FRUIT,RESISTANCE,CULTIVATION
Tomato,102-263,"Indeterminate loose tomato, vigorous plant,high yield.","Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.","HR: ToMV, Vd, Va, F 0-1, For  / IR: Ma, Mi, Mj, TYLCV, TSWV.",Winter and spring seasons in greenhouse.
Tomato,102-409,"Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.","Red color, slightly flat, firm, 200-250 gr.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, Ma, Mi, Mj, ToBRFV, Ss",Spring season in greenhouse and open field.
Tomato,102-416,"Indeterminate beef Tomato, vigorous plant, short internodes.","Red color, firm, 4-5 fruits per cluster, 300-350 g, very nice aroma.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-B / IR: Ma, Mi, Mj, TYLCV, TSWV",Autumn and spring seasons in greenhouse.
Tomato,102-472,"Indeterminate cluster tomato, early, open plant, short internodes.","Round, very firm, red color, 90
- 100 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, ToBRFV",Autumn and spring seasons in greenhouse.
Tomato,102-477,"Indeterminate cluster tomato, vigorous plant, very good cluster shape, early.","Red color, firm, 5-7 fruits per cluster, 130-140 g, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1/ IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse and open field.
Tomato,102-638,"Indeterminate cherry Tomato, very early, short internodes.","Red color, firm, high quality and productivity, 10-15 gr.","HR: ToMV, Va, Vd, Fol 0-1, /IR: Ma, Mi, Mj, TYLCV",Autumn and spring seasons in greenhouse.
Tomato,102-79,"Indeterminate tomato, very vigorous, early, tolerance cold weather.","Red color, slightly flat, firm, 180-200 gr.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and winter seasons in greenhouse.
Tomato,112-05,"Indeterminate loose tomato, winter crop for long cycle, very strong plant.
HR:ToMV, Fol 0-1, Va, Vd / IR: TYLCV, Ma, Mi, Mj","Red color, round, 5-6 fruits per cluster, 180-200 g.",,Winter season in greenhouse.
Tomato,112-101,"Indeterminate round loose tomato, very vigorous plant, very early.","Red color, round, firm, 170-190 gr, productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,112-249,"Indeterminate loose tomato, vigorous plant, high yield.","Red color, globe, firm, 220 - 250 g, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.
